date,month,blood_type,available_units,previous_day_stock,donated_units,requested_units,donor_count,hospital_requests,emergency_cases,is_holiday,special_event,shortage
2024-01-01,1,A+,95,77,41,23,39,7,10,0,0,0
2024-01-01,1,A-,30,49,32,51,30,2,1,0,0,1
2024-01-01,1,B+,0,27,40,82,39,7,19,0,0,1
2024-01-01,1,B-,50,70,20,40,17,1,13,0,0,0
2024-01-01,1,AB+,74,97,31,54,29,1,4,0,0,0
2024-01-01,1,AB-,6,33,10,37,10,1,15,0,0,1
2024-01-01,1,O+,0,33,13,73,10,2,11,0,0,1
2024-01-01,1,O-,16,70,34,88,34,2,17,0,0,1
2024-01-02,1,A+,49,43,34,28,34,7,4,0,0,0
2024-01-02,1,A-,61,71,18,28,16,5,5,0,0,0
2024-01-02,1,B+,30,52,49,71,47,1,17,0,0,1
2024-01-02,1,B-,49,56,42,49,42,7,5,0,0,0
2024-01-02,1,AB+,67,58,48,39,45,8,6,0,0,0
2024-01-02,1,AB-,36,80,21,65,18,1,18,0,0,1
2024-01-02,1,O+,44,80,45,81,45,5,17,0,0,1
2024-01-02,1,O-,37,69,28,60,26,5,9,0,0,1
2024-01-03,1,A+,55,54,44,43,41,8,2,0,0,0
2024-01-03,1,A-,0,37,50,88,46,2,18,0,0,1
2024-01-03,1,B+,100,99,49,48,46,9,2,0,0,0
2024-01-03,1,B-,64,88,24,48,22,8,14,0,0,0
2024-01-03,1,AB+,15,78,32,95,30,3,18,0,0,1
2024-01-03,1,AB-,103,91,33,21,30,2,4,0,0,0
2024-01-03,1,O+,48,63,14,29,14,7,0,0,0,0
2024-01-03,1,O-,38,92,39,93,38,5,16,0,0,1
2024-01-04,1,A+,6,55,17,66,13,3,19,0,0,1
2024-01-04,1,A-,89,97,39,47,36,8,13,0,0,0
2024-01-04,1,B+,20,22,17,19,15,4,9,0,0,0
2024-01-04,1,B-,51,70,29,48,25,4,7,0,0,0
2024-01-04,1,AB+,79,83,37,41,37,1,9,0,0,0
2024-01-04,1,AB-,16,55,48,87,46,9,9,0,0,1
2024-01-04,1,O+,48,85,41,78,39,5,13,0,0,1
2024-01-04,1,O-,58,77,14,33,14,2,5,0,0,0
2024-01-05,1,A+,0,38,13,92,11,5,16,1,0,1
2024-01-05,1,A-,45,49,47,51,44,8,19,1,0,1
2024-01-05,1,B+,76,80,45,49,42,4,3,1,0,0
2024-01-05,1,B-,59,43,44,28,40,5,10,1,0,0
2024-01-05,1,AB+,12,46,18,52,18,8,18,1,0,1
2024-01-05,1,AB-,30,36,43,49,41,9,18,1,0,1
2024-01-05,1,O+,19,41,31,53,28,4,8,1,0,1
2024-01-05,1,O-,64,89,43,68,42,4,12,1,0,1
2024-01-06,1,A+,0,33,17,83,15,2,14,1,0,1
2024-01-06,1,A-,54,66,24,36,23,6,18,1,0,0
2024-01-06,1,B+,46,45,22,21,20,6,11,1,0,0
2024-01-06,1,B-,17,50,24,57,23,4,13,1,0,1
2024-01-06,1,AB+,100,97,43,40,42,9,17,1,0,0
2024-01-06,1,AB-,1,33,22,54,22,9,5,1,0,1
2024-01-06,1,O+,11,43,31,63,27,3,4,1,0,1
2024-01-06,1,O-,47,42,47,42,46,9,18,1,0,0
2024-01-07,1,A+,0,39,4,50,1,3,9,1,1,1
